rep,seed,model,success,fit_success,ios_success,convergence,error,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_min_global,q_min_observed,q_min_path,q_median_path,time_sec,ios_T_N,ios_sampled_ios_sum,ios_formal_T_N_complete,ios_expected_n_transitions,ios_n_transitions,ios_n_valid,ios_n_failed,ios_success_rate,ios_median_ios_contribution,ios_max_ios_contribution,ios_min_ios_contribution,ios_total_seconds
76,20260679,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,75.46687035194455,-78.65708204924414,34.75177881999214,60.36702406225137,-50.86179340146529,44.322280654475016,-236.8771836177846,5085.754139083468,340.4722121779566,-245.68683272166913,656.5276439718449,8047.929485621664,4769.260948242732,4769.260948242731,4769.263857277756,5323.546231982116,2494.9194690420045,37.09329571282997,37.09329571282997,True,2499.0,2499.0,2499.0,0.0,1.0,0.0008331276534829,8.653050525534454,0.0003162341840958,2406.0001792529656
77,20260680,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,71.02036049053275,-99.26912551970004,5.184143759366655,91.6020740568425,-3.1220030004734536,39.258550732148954,230.00117548939292,4471.30487895438,271.0169142088037,-206.298146145202,-604.3118662022216,7986.287884559063,4134.432148428556,4134.432148428556,4134.432180710648,4723.431693838671,3216.6570534159982,37.39380876372901,37.39380876372901,True,2499.0,2499.0,2499.0,0.0,1.0,0.0009828067816339,20.150439497734496,0.0001560153520792,3127.837607433088
78,20260681,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,72.34626887470726,-121.137452659193,19.743288739580485,115.81841819463123,-12.974684891368655,59.031586982366896,-17.111927789801634,3822.504689741737,855.5135039300376,-449.454424038013,65.14335834510656,8222.613684439248,3821.264599106994,3821.2645991069935,3821.264626705077,4758.359781801171,3273.3255599170006,48.28122698348585,48.28122698348585,True,2499.0,2499.0,2499.0,0.0,1.0,0.0010751545459992,21.29344713011824,0.0003361384666615,3184.126281600824
79,20260682,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,71.04320308191326,-51.77668835068411,12.08215156405504,29.17292177487809,-15.825309445693607,59.52554759439677,85.4848052973951,3626.472684707665,257.89439683478884,-247.77716243193953,-204.50016303252644,8064.424684355517,0.0002748542610788,3536.0333180917596,3553.88998625282,4217.371848357676,3849.7259611669942,51.611747271310165,51.611747271310165,True,2499.0,2499.0,2499.0,0.0,1.0,0.0011462245705393,23.359361154397277,0.0003706561905709,3758.0729949959714
80,20260683,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,69.84214213230624,-111.86685343315348,-13.774855645276087,88.4647932747747,-16.20667932255108,37.327582487023314,36.22081304698841,5133.874064318811,1604.1313789566375,-489.0132844454381,-465.49101323828177,8500.75183072944,0.000277208029729,4719.049020262319,4769.96199452796,6509.909391549887,3269.8617175410036,66.34795666147348,66.34795666147348,True,2499.0,2499.0,2499.0,0.0,1.0,0.0010818262372622,26.745254649098857,0.0004224801433134,3180.1868155690245
81,20260684,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,70.15315373437035,-78.22058277561493,6.336977139617518,68.1521777324676,-1.8911697249603363,37.2621697856484,89.44385117440214,4482.454240352797,191.03343542550044,-167.6100699362338,-413.7257112102022,7984.167931259886,0.0002736471615207,3999.673867247083,4071.6542677325183,4873.477735844312,3595.7594269999972,25.14527256520835,25.14527256520835,True,2499.0,2499.0,2499.0,0.0,1.0,0.001042813363195,2.387969010700452,2.6411861959285687e-05,3504.094030645996
82,20260685,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,72.17942118983024,-92.32993828474868,11.040566517748369,79.1759941325875,-10.408106914190515,36.96238587893187,101.90657529741716,4169.471461727791,559.758719669747,-287.6805019150936,-396.5725430446219,7888.66358235898,4099.231474224932,4099.231474224931,4099.231488317057,4705.302135012978,3271.812212249999,26.525413406510975,26.525413406510975,True,2499.0,2499.0,2499.0,0.0,1.0,0.0010792900273899,3.7885887510785032,0.000346940202534,3180.0493146478766
83,20260686,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,69.47451665630595,-93.41809217896416,10.07345045949457,92.35585164417289,-11.18229289833777,66.76583623283288,200.9928719218208,3520.3165361925826,9.899243668245187,-51.41716762261282,-77.39350519414681,8171.134194746125,3369.0485492894422,3369.0485492894422,3369.0486913924374,4016.494027269404,3267.7938828749975,42.80822094924328,42.80822094924328,True,2499.0,2499.0,2499.0,0.0,1.0,0.000908259703106,11.581443112763182,0.0002970689534818,3175.014865441015
84,20260687,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,71.32621457038405,-106.32237949413629,27.219390389501424,83.90215388677242,-10.3773076092318,42.39440359323355,303.58033600831584,4200.66536124511,1233.0271205006122,-456.6882746870118,-1848.887420771879,7954.732394018014,0.0002714601796469,3243.6624983529937,3340.583954906924,4431.836215155135,3368.2496581250016,37.448225916198645,37.448225916198645,True,2499.0,2499.0,2499.0,0.0,1.0,0.0011670739307021,6.126718291247627,0.000515391517418,3276.4680133882357
85,20260688,M4,True,True,True,0,,asymmetric drift with position-velocity diffusion,66.5560600653052,-67.91259690175792,-13.296873371147315,33.64159910694265,5.201272251593078,42.34535027995695,187.7231594671283,4284.816769103322,220.4973546997023,-193.2566968626216,-428.36766591117333,8117.773295406728,4076.765682222829,4076.7656822228287,4076.7656832432313,4609.837024464625,3259.3329592910013,20.439127485653465,20.439127485653465,True,2499.0,2499.0,2499.0,0.0,1.0,0.0009661238531659,1.5418511442228748,0.0002635547138587,3168.743444114967
