rep,q_min_global,q_min_observed,q_min_protected,q_path_min,q_path_median,q_path_q05,q_path_q95,augmented_eig_min,tail_margin,nll,time_sec
39,0.00027497786868480034,2232.566382923719,1778.9864435726968,2239.6538189205485,3996.4043895161985,2367.5298717235046,24599.010369561784,1.0462678800260963e-07,45.28545762045522,8501.715319593266,4.206963917000024
40,0.0002744575685937889,3592.9082952346107,2751.29961056295,3606.809951690749,5001.414533397727,3771.7357985784174,15652.231978182801,3.280100246171048e-08,105.88564304490546,7988.458950638955,3.5534954169999935
41,0.0002757118927547708,3867.0320665349473,3695.788779559586,3869.1803284115645,4994.935306537984,3933.944835031726,18613.299302369214,2.0263450243966543e-09,71.03738062611657,8071.76123127527,0.6694231670000192
42,0.0002757118927547708,3867.0320665349473,3695.788779559586,3869.1803284115645,4994.935306537984,3933.944835031726,18613.299302369214,2.0263450243966543e-09,71.03738062611657,8336.135301937991,0.6629875830000174
43,4247.691733050884,4247.691733050883,4247.691733050885,4247.692245131184,5338.753712624219,4260.798826915865,13316.587699722206,-2.233645330614584e-13,104.49253952169235,7990.703967143558,3.014312541999999
44,0.00027378516278986353,2951.9447662640177,0.00027378516278986353,3071.7215982575326,8611.873310446086,3810.010864259616,14961.99540949461,1.4638586519402145e-06,118.61870466511785,8209.241469448623,3.368200416999997
45,4192.223986328336,4192.223986328336,4192.223986328336,4192.2242953462,4935.498588137161,4198.523291755322,15759.883524904828,-8.999783904381266e-14,84.82553671082803,8240.793896752386,2.9189307079999764
46,0.0002743471159192268,3272.982613336263,1982.3033437351291,3316.9721952448745,5046.693090815788,3593.1264398883086,15947.37524266867,8.787775714699401e-08,89.06328027923098,8073.136141611832,3.0592633750000005
47,4392.064228914093,4392.064228914092,4392.064228914089,4392.064439766829,5016.761122057258,4397.654850147508,11848.651462115202,-3.0620379455995686e-13,110.65878145587092,7844.1374886837875,2.871174833999987
48,3786.347718025051,3786.3477180250507,3786.347718025049,3786.3477323916754,4768.063653208615,3798.7013702991803,15908.929194253913,3.6776325775616594e-13,93.05767666613426,7999.814391639073,3.0117264159999877
49,3995.976121607236,3995.9761216072347,3995.9761216072357,3995.9761595118744,5650.308418038845,4008.3434699130526,18585.440014902873,1.262046523477709e-13,88.42532442944287,8245.217351396452,2.9239069169999823
50,0.00027536789639270864,2821.427049356475,1753.706953198856,2857.581955116404,4611.883784927426,3106.3022738579843,17537.01461595813,8.545084167386456e-08,73.82819910655556,8263.35784090895,3.666807125000019
51,0.00027587790827965364,3779.1380064882505,2141.404904424712,3805.5393708486617,5521.215809211648,4091.221483668039,13676.813505240776,2.489188908720211e-07,100.9901026489635,8146.629475581232,3.604190082999992
52,0.0002733919973252341,4115.2356772409485,3774.9397214498376,4127.952241580529,5294.451239361713,4224.420673645586,15782.81261222824,2.6333932219845155e-09,103.541586440953,8027.190125216202,2.6936354579999886
53,0.00027460262572276406,3391.685797558886,2961.581820220446,3413.6293951164853,4753.787256023504,3525.1215747126444,16621.64830533536,7.395869090809296e-09,77.73166006747604,8218.501720989185,3.5287813329999835
54,0.00027571180544327945,3867.0320665349427,3695.788779559586,3869.1803284115595,4994.935306537978,3933.9448350317216,18613.299302369207,2.0266292415050402e-09,71.03738062611666,8120.973317843249,0.7862162499999954
55,3104.98545487988,3104.9854548798794,3104.9854548798776,3104.988905731145,4267.328603627152,3114.683966912979,20062.34117413177,-5.602641020930522e-14,65.23576400439133,8265.783601394214,2.9114425410000138
56,0.0002751293941400945,3189.2187511497696,2286.5349903253905,3222.56870764198,4877.496118996718,3441.586917395431,18835.044805474558,6.005071795092901e-08,83.04577645586429,8101.816242138152,3.0600965829999893
57,0.0002754402703430969,3157.192624519725,2317.7644714418875,3200.5568531875433,5052.931953028963,3385.0210083719576,19425.62748886091,2.3683821889668362e-08,81.13581287240885,8198.27142534524,2.9584765410000102
58,0.0002736358001129702,3406.17444476069,2602.477971299545,3437.927781266053,4741.674702217853,3612.050085731177,14994.705457398606,3.649698187124466e-08,90.82843547980102,8020.614873399677,2.6917034580000063
59,4627.2819482105215,4627.28194821052,4627.281948210521,4627.28851127749,5564.675255203649,4639.4344175333445,12989.317670413015,1.4505532178811127e-13,104.57306486031175,8082.12008965907,2.612022708000012
60,3620.7263054349114,3620.7263054349105,3620.726305434911,3620.7263054361556,4461.549254782333,3627.9533376272543,16796.762521013236,1.008936796691545e-13,88.55099225317208,7931.680377893317,3.3131188749999865
61,3736.3133787293254,3736.313378729324,3736.313378729325,3736.313395143382,4762.091001767736,3746.6626733410335,16487.378433595113,-1.026879199585909e-13,86.45829266060201,8080.00673986868,3.200391916000001
62,0.0002757374231805443,2619.4733055992583,818.3808055409238,2793.0218335452673,5650.279744748379,3266.929934950772,21939.93931838015,2.0479887982356475e-07,76.54941381531981,8391.683088902138,3.0037746669999876
63,0.0002751678584900219,2063.691727597856,447.2541017827871,2110.081598148121,4449.141189091612,2534.5684557287414,18373.475492532074,1.537895538041823e-06,65.84617681999643,8314.925361682956,3.5021720000000016
64,0.0002745115307334345,3943.805944645087,2648.727270328765,3985.037225753729,5508.292050751217,4242.585921427629,14450.831149795502,6.152662798564861e-08,95.55669843717946,8160.508367951821,3.2167636249999987
65,0.0002729875432123663,3840.402454269985,3765.91400649145,3846.4105243689096,5110.126798502779,3891.5068056148793,17067.24824701232,1.5557137674484347e-10,89.85985470066267,8072.607495211707,3.6691071660000034
66,0.00027418288664193824,4173.544132666381,3271.6747572366703,4216.321171674016,6060.746332262901,4399.883907127058,18836.04827481543,1.1441997151723216e-08,98.49562856108227,8170.140391486077,3.343455250000005
67,0.0002746643549471628,2974.4167349223026,2639.847884078519,2990.6099030357796,4446.071657185339,3088.5918356080733,18098.753060910956,5.9722578469264756e-09,69.95928983620361,8205.072797608213,3.2232317499999965
68,0.0002740349154919386,3492.883143273768,3140.5911604442426,3503.8614334787,4992.1200407477645,3606.642264910699,17760.453616893687,3.0065438430201195e-09,89.54928489187,8111.891934264314,2.8575945000000047
69,4254.092908027997,4254.092908027996,4254.092908027995,4254.095915422502,4980.838495649797,4261.368264367914,14149.537677569318,-5.27054973490818e-14,111.57541851060874,7886.207187386187,2.6617657909999934
70,0.0002746003410720732,3742.8086561615432,2738.6720672098536,3779.9749923231957,5379.560536445802,3990.5771430705545,17431.045514476267,3.339657475056604e-08,86.00976478492464,8248.954206244007,3.2138465410000094
71,4015.4007307264287,4015.400730726429,4015.4007307264224,4015.40178460061,5150.216203785323,4029.592831938226,16372.40222004501,-9.09986535006288e-14,92.86051914674472,8083.615792661723,2.898492250000004
72,5201.940177739677,5201.940177739677,5201.940177739677,5201.940286258005,5891.471198140893,5205.529996648135,14908.683185835163,2.9626394008666324e-13,99.77236999756914,8304.483776923722,2.9801784580000117
73,4101.026199581563,4101.026199581562,4101.026199581556,4101.026491310106,5099.847877988459,4109.509055766684,15270.29141664839,-8.645797664449696e-14,93.16274428054915,8105.097431808992,2.157947041
