rep,n_success,p_upper,p_lower,q50,q95
81,82,0.9518072289156626,0.060240963855421686,37.29564609235553,91.29595861843146
82,83,0.9523809523809523,0.05952380952380952,37.19748342098205,91.24100616184528
83,84,0.9529411764705882,0.058823529411764705,37.29564609235553,91.18605370525913
84,85,0.9534883720930233,0.05813953488372093,37.39380876372901,91.13110124867298
85,86,0.9425287356321839,0.06896551724137931,37.29564609235553,91.07614879208683
86,87,0.9431818181818182,0.06818181818181818,37.19748342098205,91.02119633550066
87,88,0.9438202247191011,0.06741573033707865,37.14538956690601,90.9662438789145
88,89,0.9444444444444444,0.06666666666666667,37.19748342098205,90.91129142232835
89,90,0.945054945054945,0.06593406593406594,37.29564609235553,90.85633896574218
90,91,0.9456521739130435,0.06521739130434782,37.39380876372901,90.80138650915603
91,92,0.946236559139785,0.06451612903225806,37.29564609235553,90.74643405256988
92,93,0.9468085106382979,0.06382978723404255,37.39380876372901,90.6914815959837
93,94,0.9473684210526315,0.06315789473684211,37.421017339963825,90.63652913939755
94,95,0.9479166666666666,0.0625,37.448225916198645,90.5815766828114
95,96,0.9484536082474226,0.061855670103092786,38.52210951815144,90.52662422622524
96,97,0.9489795918367347,0.061224489795918366,37.448225916198645,90.47167176963907
97,98,0.9494949494949495,0.06060606060606061,38.52210951815144,90.41671931305292
98,99,0.95,0.06,37.448225916198645,90.36176685646677
99,100,0.9504950495049505,0.0594059405940594,37.66787690761413,90.30681439988061
100,101,0.9509803921568627,0.058823529411764705,37.448225916198645,90.25186194329446
101,102,0.9514563106796117,0.05825242718446602,37.421017339963825,90.19533933302367
102,103,0.9519230769230769,0.057692307692307696,37.39380876372901,90.13881672275289
103,104,0.9523809523809523,0.05714285714285714,37.421017339963825,91.18605370525913
104,105,0.9528301886792453,0.05660377358490566,37.448225916198645,94.97690396628498
105,106,0.9532710280373832,0.056074766355140186,37.421017339963825,94.75027941058079
106,107,0.9537037037037037,0.05555555555555555,37.39380876372901,94.52365485487653
107,108,0.9541284403669725,0.05504587155963303,37.421017339963825,94.29703029917232
108,109,0.9545454545454546,0.05454545454545454,37.448225916198645,94.07040574346813
109,110,0.954954954954955,0.05405405405405406,37.421017339963825,93.84378118776392
110,111,0.9553571428571429,0.05357142857142857,37.448225916198645,93.61715663205973
111,112,0.9557522123893806,0.05309734513274336,37.66787690761413,93.39053207635546
112,113,0.956140350877193,0.05263157894736842,37.887527899029614,93.16390752065126
113,114,0.9565217391304348,0.05217391304347826,38.741760509566916,92.93728296494706
114,115,0.9568965517241379,0.05172413793103448,37.887527899029614,92.71065840924287
115,116,0.9572649572649573,0.05128205128205128,38.741760509566916,92.48403385353866
116,117,0.9576271186440678,0.05084745762711865,37.887527899029614,92.2574092978344
117,118,0.957983193277311,0.05042016806722689,38.741760509566916,97.08709849353912
118,119,0.9583333333333334,0.05,37.887527899029614,96.68586639206002
119,120,0.9586776859504132,0.049586776859504134,37.66787690761413,96.28463429058094
120,121,0.9590163934426229,0.04918032786885246,37.448225916198645,95.88340218910184
121,122,0.959349593495935,0.04878048780487805,37.66787690761413,95.65677763339758
122,123,0.9596774193548387,0.04838709677419355,37.887527899029614,103.1055800157258
123,124,0.96,0.048,37.66787690761413,102.70434791424671
124,125,0.9603174603174603,0.047619047619047616,37.448225916198645,102.30311581276763
125,126,0.9606299212598425,0.047244094488188976,37.66787690761413,101.90188371128853
126,127,0.9609375,0.046875,37.887527899029614,101.50065160980932
127,128,0.9612403100775194,0.046511627906976744,38.741760509566916,105.50524621542276
128,129,0.9615384615384616,0.046153846153846156,37.887527899029614,105.38238452336594
129,130,0.9618320610687023,0.04580152671755725,38.741760509566916,105.25952283130913
130,131,0.9621212121212122,0.045454545454545456,39.595993120104225,105.13666113925231
131,132,0.9624060150375939,0.045112781954887216,38.741760509566916,105.01379944719547
132,133,0.9626865671641791,0.04477611940298507,37.887527899029614,104.89093775513865
133,134,0.9629629629629629,0.044444444444444446,37.66787690761413,104.76807606308184
134,135,0.9632352941176471,0.04411764705882353,37.887527899029614,104.64521437102502
