model,source,rep,X_mean,X_sd,X_q05,X_q50,X_q95,Vhat_mean,Vhat_sd,Vhat_q05,Vhat_q50,Vhat_q95
M2,simulated,29,0.13503313474553502,0.85384683977036,-1.2764043981688413,0.33644898225275816,1.3045215810758464,-0.04517293951136883,6.248834921632476,-8.584354963166321,-0.43762460324647257,9.182580425480692
M2,simulated,30,0.17542489311708298,0.8771819028463369,-1.218544320078019,0.253230761395556,1.4404826164198332,-0.040790471469154314,5.652516657246048,-8.076740878450408,-0.2318405314245424,8.893156981237679
M2,simulated,31,-0.01994949526956589,0.8883057954053688,-1.362930510156539,-0.03630046203461605,1.3410620071070034,-0.04276088843840287,6.169815201047302,-8.110988731784362,-0.48813638593196845,9.173340553778747
M2,simulated,32,-0.3923793852350423,0.8535812781141021,-1.4379399340639758,-0.6140402496417521,1.2296913150007112,-0.02700615903092632,6.854720474229568,-8.44100711668918,-0.2514711035518924,9.573171795392467
M2,simulated,33,-0.1410495115955367,0.8746632770828444,-1.4028301637745513,-0.24412060779494704,1.3014605834047481,-0.01318932785702591,7.734979511304448,-9.527564134076725,-0.3756950729538133,10.126241336929867
M2,simulated,34,-0.10456267841640128,0.8931516387346158,-1.3672675642711358,-0.19920922848195433,1.3244843775450545,-0.017771797560444027,6.301875103041068,-8.876786129483486,-0.32449700208824206,10.030009981392391
M2,simulated,35,0.07971728318833252,0.9339494844736029,-1.357722389745731,0.24174438399234482,1.372012218348588,-0.03385301030055622,6.031166050248268,-8.207956369230569,-0.4133878984041259,9.143452375547403
M2,simulated,36,0.02546301397908683,0.8740910127240614,-1.2627247350105448,-0.01211153126228276,1.3301960329411662,-0.038487367871124924,6.61813680371222,-8.955319445504585,-0.3236906980214168,10.19448974372749
M2,simulated,37,-0.14700023044984842,0.8180667249354863,-1.2556475290633784,-0.2754511731181202,1.203689880147708,-0.03866015209701124,5.980072766960429,-8.440592468994735,-0.4685627612823526,9.309839317456934
M2,simulated,38,0.0020441842762805437,0.9139986778524075,-1.340235506035769,0.0003716575954773142,1.3619520561882437,-0.045092579442582055,7.590177457635167,-9.300560924622289,-0.40564062380701316,9.619592027035484
M2,simulated,39,0.11084799136309696,0.8377837793280378,-1.2603587155395797,0.1774849183126236,1.357847914070532,-0.011798141903190885,6.472118704345769,-8.381414685961287,-0.41607162956327076,10.292865713803097
M2,simulated,40,0.1692247097259075,0.7801157913530612,-1.1838329958183251,0.2267813827677716,1.3600862378531364,-0.043672487247844144,7.041943619157083,-8.488684445670582,-0.3125001584751583,8.963009394867436
M2,simulated,41,-0.1611479545823649,0.8850678347784651,-1.385904716861273,-0.37700785043548946,1.2450749569321713,-0.043795196740159345,6.082407131686397,-8.522267619576647,-0.29187667701122133,9.187368484175543
M2,simulated,42,-0.05811578757039415,0.8401905100165912,-1.2843756167829394,-0.057114806468501936,1.3185575575139576,-0.033582777271411846,6.155334806831967,-8.378858148016489,-0.38623495673742736,9.412579321370467
M2,simulated,43,0.08423520073731097,0.8986671016235704,-1.337857929493805,0.1836538165944402,1.3598124412962793,-0.006192696433467336,5.888269681233718,-8.45502515911712,-0.3395987187759575,9.240129876085156
M2,simulated,44,-0.0015356929245616071,0.8658070731027568,-1.3319651523728646,-0.06589185547124138,1.390205034014123,-0.03078590000974681,6.309980048910716,-8.6055225937601,-0.4032375324234255,9.74444659012737
M2,simulated,45,0.04128402871147689,0.8426504909395945,-1.2737342903279194,0.060175130096571355,1.2775767078038107,-0.04881423645873104,6.839565250706187,-9.115952128956348,-0.29491738724729544,10.014707463179825
M2,simulated,46,-0.34737513402498316,0.8447736654976894,-1.4728891775179578,-0.5067779453129417,1.1570180717868126,-0.04789005580995254,7.296176708510447,-8.6642387537892,-0.3311882809258315,9.533187835079437
M2,simulated,47,0.20737712119582458,0.845536356375612,-1.3101750656090083,0.3625319600649216,1.5068694502126105,-0.016701122013287533,6.4501366316001665,-8.663341594322821,-0.43963753044768406,10.078425226864919
M2,simulated,48,-0.12671659957315787,0.7940644723186268,-1.2791184494531724,-0.19563763426588715,1.113477313776907,-0.012112180355259164,6.155816445398049,-8.013590018034899,-0.28096324129846806,9.546577836749917
M2,simulated,49,0.4288580204997912,0.7415552520289392,-0.9935787639703316,0.5484426136384927,1.4499055163435837,0.011846552545231105,6.4058231341948035,-8.700882273691136,-0.43881012144911213,9.61035804725057
M2,simulated,50,-0.09532544820488664,0.8235476894197168,-1.3092453405262858,-0.1663777566481104,1.239618131249744,-0.007193533632544651,6.78788596135222,-8.326960867430913,-0.39642682655704964,10.060150528649572
M2,simulated,51,0.1502574072061967,0.8718772962179823,-1.2024968815295434,0.2675356118427661,1.355362881205524,-0.029631816351430165,6.272865947474181,-8.333758871390389,-0.4208248755752514,9.80753768305021
M2,simulated,52,-0.19309890705288815,0.8644344062761911,-1.4052218257381544,-0.2588120568762926,1.2830230069685304,-0.02619257999707313,5.648243571737248,-8.160142562129964,-0.38026008024100444,8.901933389817218
M2,simulated,53,0.3352644027702108,0.7928786837324573,-1.016079988621438,0.38705917227038933,1.4520263664823547,-0.06448818997059778,6.846072297934793,-9.029371427187755,-0.5279113441929231,10.301203087068563
M2,simulated,54,0.17530562667342134,0.8483287318016811,-1.224901847378931,0.1821780975907781,1.3563431530865067,-0.002443788854907973,6.320209493408285,-8.499694742286746,-0.3953932683407879,10.169964049426452
M2,simulated,55,0.08123698606937901,0.9375202868026195,-1.3125356062214293,0.0934804069249689,1.4505586846661762,0.0016913669350644908,6.6595564542940275,-8.47981980490949,-0.42450756564886005,10.193278808275394
M2,simulated,56,-0.12136342525921755,0.8480251830379658,-1.3454253678436316,-0.18014344560073653,1.2614209722990757,-0.04847646331493342,6.220485062967181,-8.39975614409803,-0.48798536359373895,9.941789344967848
M2,simulated,57,-0.32253559767832973,0.8660043605724865,-1.4261508070408468,-0.5106948441210757,1.2224827690052906,-0.021504540822378425,6.333850527564107,-8.941376962605192,-0.26509407201413665,9.098997382117087
M2,simulated,58,-0.13929532921533647,0.8728523170127348,-1.3807250662677248,-0.2072983344404059,1.2483045465074345,-0.04248653989071169,7.042916503904019,-8.869524421115848,-0.4375808405793852,10.137811415809603
M2,simulated,59,-0.4607999215934594,0.7521648171757562,-1.414623564537338,-0.6025869358089775,1.0338748383153324,-0.053582150414946544,5.98038412370786,-8.335366577171644,-0.23370437202179933,9.125331157749741
M2,simulated,60,0.05107378165771486,0.875403127333806,-1.269668376459144,0.02150872256852534,1.3550536885786997,-0.013414072119288288,5.954263956335077,-8.48450023570273,-0.4531049001903181,10.028822918146956
