model,variable,value,observed_density,simulated_q025,simulated_median,simulated_q975
M4,Vhat,93.03456666293177,0.0,0.0,0.0,7.849488558177136e-05
M4,Vhat,98.13151063129592,0.0,0.0,0.0,7.84783985232585e-05
M4,Vhat,103.22845459966008,0.0,0.0,0.0,7.847839852325807e-05
M4,Vhat,108.32539856802424,0.0,0.0,0.0,7.84783985232585e-05
M4,Vhat,113.42234253638838,0.0,0.0,0.0,0.0
M4,Vhat,118.51928650475256,0.0,0.0,0.0,7.847839852325764e-05
M4,Vhat,123.61623047311673,0.0,0.0,0.0,0.0
M4,Vhat,128.71317444148087,0.0,0.0,0.0,0.0
M4,Vhat,133.81011840984502,0.0,0.0,0.0,4.1201159224710044e-05
M4,Vhat,138.9070623782092,0.0,0.0,0.0,0.0
M4,Vhat,144.00400634657336,0.0,0.0,0.0,0.0
M4,Vhat,149.1009503149375,0.0,0.0,0.0,0.0
M4,X,-5.807616368439382,0.0,0.0,0.0,0.0
M4,X,-5.616024622549432,0.0,0.0,0.0,0.0
M4,X,-5.424432876659482,0.0,0.0,0.0,0.0
M4,X,-5.232841130769534,0.0,0.0,0.0,0.0
M4,X,-5.041249384879585,0.0,0.0,0.0,0.0
M4,X,-4.849657638989636,0.0,0.0,0.0,0.0
M4,X,-4.658065893099687,0.0,0.0,0.0,0.0
M4,X,-4.466474147209738,0.0,0.0,0.0,0.0
M4,X,-4.274882401319789,0.0,0.0,0.0,0.0
M4,X,-4.08329065542984,0.0,0.0,0.0,0.0
M4,X,-3.891698909539891,0.0,0.0,0.0,0.0
M4,X,-3.7001071636499416,0.0,0.0,0.0,0.0
M4,X,-3.508515417759993,0.0,0.0,0.0,0.0
M4,X,-3.316923671870044,0.0,0.0,0.0,0.0
M4,X,-3.125331925980095,0.0,0.0,0.0,0.0020877726132824217
M4,X,-2.9337401800901457,0.0,0.0,0.0,0.001096080621973251
M4,X,-2.742148434200197,0.0,0.0,0.0,0.002087772613282417
M4,X,-2.5505566883102477,0.0,0.0,0.0,0.003184250070786411
M4,X,-2.3589649424202985,0.0,0.0,0.0,0.004175545226564834
M4,X,-2.1673731965303498,0.0020877726132824217,0.0,0.0,0.006263317839847265
M4,X,-1.9757814506404008,0.006263317839847251,0.0,0.002087772613282417,0.017798261528232585
M4,X,-1.7841897047504518,0.006263317839847265,0.0009916919913091505,0.01984136182519003,0.05537816856731621
M4,X,-1.592597958860503,0.03549213442580117,0.036483826417110315,0.09186199498442656,0.1672305863239219
M4,X,-1.4010062129705538,0.21712835178137085,0.08131874328734995,0.22756721484778292,0.43456986945473397
M4,X,-1.2094144670806046,0.5115042902541933,0.16383795582733804,0.3392630496583935,0.5272147791691435
M4,X,-1.0178227211906559,0.5762252412659483,0.21065625668019636,0.3925012512970953,0.6665736011057446
M4,X,-0.8262309753007067,0.46139774753541307,0.23893941419640535,0.39250125129709346,0.6110388495924297
M4,X,-0.6346392294107575,0.37788684300411834,0.19597595280303667,0.3528335716447293,0.5157842241114222
M4,X,-0.4430474835208087,0.32986807289862263,0.1960418483872194,0.3131658919923632,0.47084491861051814
M4,X,-0.25145573763085993,0.1941628530352652,0.1741363246678523,0.2913023428568687,0.4493930550090411
M4,X,-0.05986399174091073,0.09603754021099095,0.15753518928158655,0.26932266711343117,0.3915095593057843
M4,X,0.13172775414903848,0.08142313191801444,0.14911915890369698,0.28811262063297416,0.4094122094646828
M4,X,0.32331950003898724,0.10021308543755623,0.17318073827177688,0.2985514836993863,0.44182487928589237
M4,X,0.5149112459289364,0.21504057916808844,0.1654037852872991,0.3288241865919799,0.45951875218345883
M4,X,0.7065029918188857,0.3089903467657984,0.1961462370178835,0.33933113828103556,0.5181851626166969
M4,X,0.8980947377088344,0.3590968894845765,0.194841379134582,0.366404093631065,0.5461091213193493
M4,X,1.0896864835987832,0.44678333924243824,0.13758421521531158,0.3423947085783171,0.5661172137156867
M4,X,1.2812782294887324,0.45722220230884825,0.11581918572184181,0.2463571683673246,0.443902125314568
M4,X,1.4728699753786816,0.346570253804882,0.05208992670139642,0.13152967463679258,0.2756903735839437
M4,X,1.6644617212686303,0.08977422237114413,0.015606100284286103,0.052194315332060544,0.12547513405827346
M4,X,1.8560534671585796,0.0,0.002087772613282412,0.016702180906259297,0.04614771146415595
M4,X,2.0476452130485288,0.0,0.0,0.004175545226564843,0.02197380675479747
M4,X,2.239236958938478,0.0,0.0,0.0,0.007360588968412693
M4,X,2.4308287048284267,0.0,0.0,0.0,0.006263317839847294
