rep,success,seed,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,convergence,time_sec
114,True,20260717,,M4,asymmetric drift with position-velocity diffusion,74.06835113678387,-94.81431012067064,30.57880866283624,85.93552247316148,-11.07336945967775,52.44191985207707,-29.725193657214316,4226.048506704262,179.77722715954835,-190.30501719856943,-293.040114134523,8024.414885518166,0,2.9443789169999945
115,True,20260718,,M4,asymmetric drift with position-velocity diffusion,72.37968416193746,-80.44164579102124,4.5587128739025315,52.775494498814815,-11.00713927002714,54.4972263890315,-18.17427822902601,4246.542165714662,574.0982571024192,-353.7612906289152,58.987920565469494,8227.793098185732,0,2.670829875000038
116,True,20260719,,M4,asymmetric drift with position-velocity diffusion,66.46669929642279,-87.87072130063486,4.563852940106953,68.993337349284,-20.48706141410894,43.27751780761819,168.5298939872534,4145.194065230033,295.2215257788702,-226.0471373223501,-468.11370500775615,8143.827945387759,0,2.7216399170000045
117,True,20260720,,M4,asymmetric drift with position-velocity diffusion,68.61630587097898,-86.1776224842954,36.84336653625381,76.27529587680067,-26.49513504013783,59.19440077597736,123.29808349465466,3737.266659984549,534.1917706011242,-355.6100109748862,-410.6513151427524,8269.342450233707,0,3.571714333999978
118,True,20260721,,M4,asymmetric drift with position-velocity diffusion,69.63024705635318,-151.31232800620427,-54.91785227850696,113.7844367543045,25.64904264587329,46.635322486751335,91.2191902996817,3904.7977837097774,855.1165506349613,-399.3927195261318,-390.6082186642081,8064.738008172202,0,3.138934625000047
119,True,20260722,,M4,asymmetric drift with position-velocity diffusion,68.35448682547316,-102.54503992583804,-0.8448469951592612,87.44481533547362,-0.2577606752592865,45.566405644427256,321.25352679676564,4311.01856355436,838.2293046071214,-390.8713165059533,-1377.8658550676068,8165.648004582434,0,2.7167082910000317
120,True,20260723,,M4,asymmetric drift with position-velocity diffusion,71.29260545371311,-76.83825876997888,2.8494611381241,40.160557761643986,-10.988018124207802,35.01483873883478,107.64414412908448,4943.522650945613,563.2026988737933,-280.04446930124897,-682.3106977587959,8139.2999099073,0,2.797792167000011
121,True,20260724,,M4,asymmetric drift with position-velocity diffusion,69.20663817907452,-143.59476854132737,-12.847885733521286,136.93776921242727,-12.421340090921529,60.37500429528029,-0.6698626881864691,3423.1282234286514,782.0293020060814,-434.5803606591178,2.4108418046677507,8205.944080191935,0,2.678017875000023
122,True,20260725,,M4,asymmetric drift with position-velocity diffusion,67.04610378510574,-96.4003967704203,9.175254391148735,93.23326813866072,-11.696428034803963,70.24092712840641,187.3899014279697,3606.477454493837,298.65244967931733,-289.67309129185605,-386.39732021392894,8473.307278000982,0,2.7377891659999705
123,True,20260726,,M4,asymmetric drift with position-velocity diffusion,69.57663628017174,-89.17567810129857,18.74200035457436,51.76316487546563,-48.93839013129493,44.022127962280464,-136.11419182109543,4165.1200208721375,1574.905897256924,-526.6145039308904,814.1326978245756,8163.6635068938685,0,2.8972873330000084
124,True,20260727,,M4,asymmetric drift with position-velocity diffusion,63.75781808981738,-89.24103878979938,-1.9105363966810676,69.79439592484167,-7.863085564078491,42.844987125159946,165.24207443594292,4132.33733182064,170.60621541477252,-170.87935418900094,-389.44792227329384,8177.828856556757,0,3.0080433749999997
125,True,20260728,,M4,asymmetric drift with position-velocity diffusion,73.44512345991474,-84.7884362790715,23.510709051441573,65.69814963224886,-12.044863353172238,60.082243775801835,-9.649978079043612,4160.995343422808,208.33325724786263,-223.75995663722247,17.969357840348913,8192.829875077554,0,3.0662686669999744
126,True,20260729,,M4,asymmetric drift with position-velocity diffusion,69.07024601053246,-80.97398578167704,-8.54889626437247,80.91569229046793,19.33508876376682,47.389533451149035,265.45123054324694,4635.642767669029,197.3620245318643,-193.4207255031299,-541.7205642075014,8227.40845239645,0,3.3461732910000137
127,True,20260730,,M4,asymmetric drift with position-velocity diffusion,71.43024676429377,-99.85113144144717,15.28701842966267,88.60458445873608,-9.42859395755708,71.6242298178938,20.568847694126568,3883.465825964029,583.8872114860482,-408.9883685166023,-82.46983572974466,8503.845371808784,0,3.0481170829999655
128,True,20260731,,M4,asymmetric drift with position-velocity diffusion,73.17711996473066,-97.75920265823196,28.698759749996807,89.47706983970312,-17.138237609082267,41.219945201560385,-1.6824960607873745,4940.599793463259,154.09668743963994,-147.3990433208028,-661.2169399336738,8109.131217254071,0,3.6219606250000425
129,True,20260732,,M4,asymmetric drift with position-velocity diffusion,68.34755023004911,-62.5162271201831,-9.048121413813451,47.474024387662155,10.40670011637368,66.29688032204444,166.0989286853702,3805.596354823823,532.5458260303757,-375.06497798388375,-645.2004711916117,8399.422060710875,0,3.4606010830000287
130,True,20260733,,M4,asymmetric drift with position-velocity diffusion,68.83018022080621,-69.67990851196852,-13.05716499991381,33.45921609272431,-3.3641826018788157,75.179470740492,266.7763755274651,3694.6005070724655,780.8013282497598,-479.6689495198942,-1316.9307665463327,8563.786478012013,0,3.64477662500002
131,True,20260734,,M4,asymmetric drift with position-velocity diffusion,73.50201494616911,-79.45116363230798,4.342485041070988,75.06478605818442,-4.998411994677477,54.60689277109045,193.46358210125416,4219.251291647412,129.0916661527932,-167.92015687518858,-297.4572751489465,8091.139572980204,0,3.129848000000038
132,True,20260735,,M4,asymmetric drift with position-velocity diffusion,67.77792276168643,-95.98722534383118,24.543201686719502,108.71403067594711,-30.134223294075703,45.49211688582436,85.6380623894312,3740.115992878434,524.9450116457799,-309.0641858737722,-305.90858674395616,8068.285894566898,0,3.394240375000038
133,True,20260736,,M4,asymmetric drift with position-velocity diffusion,69.27111478446955,-76.60537315240204,15.624698023357322,51.823231106053626,-19.060639213527043,30.865555451862257,103.01559750266809,4686.6371152553975,306.73038503348556,-189.2483339115401,-869.2229941792856,8026.81921200824,0,3.081117083000038
134,True,20260737,,M4,asymmetric drift with position-velocity diffusion,68.7775018518812,-102.10812566798,4.610728968309283,100.02403758229646,-9.916725997074067,52.90708208640516,136.08347298711587,4078.9073767253967,230.83901394348428,-216.752857741895,-654.3857233122835,8185.606621534937,0,2.9866725840000186
135,True,20260738,,M4,asymmetric drift with position-velocity diffusion,70.37424160650995,-88.55692515767161,-16.82641285862111,71.50618666020817,8.025782824009198,45.70730040175737,123.28611747754805,4528.726379508691,41.44937783000184,-87.05260855234233,-117.4033254028983,8119.139257241137,0,3.2720069159999525
136,True,20260739,,M4,asymmetric drift with position-velocity diffusion,67.3410734328107,-75.62498996024834,18.509307926194356,68.9378483321906,-13.31828497028085,38.7926655814536,225.79413646178563,4716.580532175167,613.8744342894374,-308.3589579682618,-1036.1004487777104,8273.513375521961,0,3.0563611669999773
137,True,20260740,,M4,asymmetric drift with position-velocity diffusion,69.37493032087299,-83.43687993325213,-4.356123564924452,86.97916359888154,7.982662271572273,50.22205592016948,131.2404752720997,4397.525205297666,96.50667438200628,-139.23740298472543,-181.9278662388398,8203.775386624899,0,3.3108302500000377
138,True,20260741,,M4,asymmetric drift with position-velocity diffusion,67.75009277788179,-118.08111629797251,-13.29449451812014,118.48948238334674,-0.5234105443687499,73.73563937147443,213.13326988412703,2965.1915536229694,737.6994103548199,-459.230113786643,-1168.608571029608,8289.179237323588,0,3.9875375409999942
139,True,20260742,,M4,asymmetric drift with position-velocity diffusion,68.69265764861963,-113.04298258762616,21.969491024200945,93.36970931322148,-22.977747373267356,48.46128068261667,5.73769611084876,3852.7728075934942,949.9140901665374,-429.1109394513433,-26.49611540617543,8168.068570500929,0,3.300934791999964
140,True,20260743,,M4,asymmetric drift with position-velocity diffusion,74.36660807254285,-81.27524021180636,-1.2462270770088149,78.43126547771072,7.642885897633604,55.5110108327514,198.34875280531952,4412.676666795758,140.1158293088703,-174.7989870926816,-518.4809405306056,8092.866356067478,0,3.2995773749999557
141,True,20260744,,M4,asymmetric drift with position-velocity diffusion,69.89243126185025,-68.14893976531188,1.5937746209412074,43.50601405624656,-1.5703545054221433,51.60957615478514,245.16614222775388,4131.700927489639,385.39914897755216,-280.19325021397077,-945.4276487354972,8105.319731220119,0,3.211279582999964
142,True,20260745,,M4,asymmetric drift with position-velocity diffusion,68.99445702785104,-111.7252460042001,8.951919610519127,97.67987138382816,-0.5694423768530629,47.780696438626485,126.68261049707296,4100.75816321737,211.571870967972,-198.5180830550483,-556.9684618488081,8058.668204306232,0,4.146623666999972
143,True,20260746,,M4,asymmetric drift with position-velocity diffusion,68.86876684392328,-100.98322150943768,12.616664146802492,85.40947734657904,-16.5362379083075,60.39109329541791,65.18590141916432,3754.759802824963,537.5041393223943,-360.33574690553263,-194.47247262674756,8288.637512731491,0,3.0405233329999533
144,True,20260747,,M4,asymmetric drift with position-velocity diffusion,68.40923498734745,-93.83001715868124,9.92168867502622,86.86586631585573,-11.513637426797736,56.26895791756514,233.8481320677078,3560.238038492146,107.6666650444612,-155.6700490718927,-323.47453677462534,8029.596660625114,0,3.2103009169999837
