k,age_ka,X,Vhat,q_observed_fit,q_boot_q025,q_boot_q50,q_boot_q975,q_ratio_q025,q_ratio_q50,q_ratio_q975
1914,41.72,-1.0113198798775356,-7.174057435370207,4792.716239009515,3506.9671406493085,4671.861175904808,6972.564238901975,0.7317285158893685,0.9747835972175803,1.4548251745325438
1915,41.7,-1.1548010285849397,-2.258779318270099,4170.462738510935,3234.7583383644023,4463.081740544935,6843.308683755201,0.7756353530014689,1.0701646364879116,1.6408991310634768
1916,41.68,-1.1999766149503417,8.521486939102996,13931.06095602467,9525.797126260353,12663.675187975576,19165.59454741897,0.6837811675887325,0.9090244618087757,1.3757455091121797
1917,41.66,-1.0295468761682818,1.1132796380215915,5441.134746894997,4133.28266578107,5516.262750389869,8668.238994151852,0.7596361527601835,1.0138074146275726,1.5930939771521764
1918,41.64,-1.00728128340785,1.02631551772987,5362.877403105282,4083.534661143237,5444.686715436457,8487.344527640653,0.7614447159986795,1.0152547422180125,1.582610208975913
1919,41.62,-0.9867549730532525,-0.4425519037663417,4616.960499483287,3563.8760734812704,4784.372468130363,7475.923082345761,0.7719095872447091,1.0362602124635485,1.6192304619418854
1920,41.6,-0.9956060111285794,-0.43532874119334153,4626.960869235669,3572.1083497924046,4799.548238841939,7533.074920528295,0.7720204364690216,1.0373003737191278,1.6280826947587064
1921,41.58,-1.0043125859524462,9.721701816744233,15283.073214631313,10254.660739747897,13523.65644272408,19868.296095616035,0.6709815883058491,0.8848780773867622,1.3000196895343694
1922,41.56,-0.8098785496175616,7.297884017102296,11040.936966282357,7657.3275544450225,9840.764206345932,14081.677635552496,0.6935396495632159,0.8912979248408353,1.275406034701238
1923,41.54,-0.6639208692755156,3.061538769719263,6285.620114426676,4723.730741133206,5965.2938999804865,8447.589791401115,0.7515138769349675,0.9490382478395438,1.3439548743985201
1924,41.52,-0.6026900938811304,10.338118644996808,15021.311245700286,9634.74948715116,12848.481280924283,17959.493010499715,0.6414053560010629,0.8553501802049434,1.1956008844194914
1925,41.5,-0.3959277209811942,22.05635558637926,42130.30284766284,21812.616746888332,33746.204413232714,49367.46720521863,0.5177417505342803,0.8009960083898322,1.1717804968961258
1926,41.48,0.04519939074639101,35.482313406208796,91374.37129346697,42892.24669402778,70499.52435863037,105629.93411181749,0.4694122223426392,0.7715459308847896,1.1560127048378361
1927,41.46,0.754845658870567,21.86741837478405,35057.98706992106,15097.970472205598,25998.780031731578,38872.7896313266,0.43065708370801775,0.7415936339949742,1.1088140786234288
1928,41.44,1.192194026366248,-0.17245274649939635,3925.781822405877,2930.455377903325,4100.689742357483,5867.896932306679,0.7464641466263207,1.044553652715325,1.4947078563603406
1929,41.42,1.1887449714362601,-0.9343294265079738,4031.353592965735,3050.6633351900164,4263.343821530172,6249.854133970974,0.7567342493878695,1.0575464848752625,1.550311573977603
1930,41.4,1.1700583829061006,-4.754822089643884,5651.7113107087835,4294.36380229098,5959.172534298044,9540.532195095304,0.7598342459838809,1.054401438199203,1.6880784722705204
1931,41.38,1.074961941113223,-7.876158576005743,8170.62702906603,5930.799191644595,8257.6178842714,12715.545909444969,0.7258683049105639,1.010646778380155,1.5562509296056388
