model,source,rep,barrier,lower_occupancy,upper_occupancy,n_switches,lower_wait_mean,upper_wait_mean,lower_wait_median,upper_wait_median
M3,simulated,21,0.139189375631117,0.5404,0.4596,79,675.5,574.5,170.0,150.0
M3,simulated,22,0.139189375631117,0.4484,0.5516,76,590.0,707.1794871794872,140.0,220.0
M3,simulated,23,0.139189375631117,0.4912,0.5088,62,792.258064516129,795.0,140.0,230.0
M3,simulated,24,0.139189375631117,0.5452,0.4548,61,879.3548387096774,733.5483870967741,180.0,160.0
M3,simulated,25,0.139189375631117,0.4632,0.5368,68,681.1764705882352,766.8571428571429,100.0,220.0
M3,simulated,26,0.139189375631117,0.5084,0.4916,76,668.9473684210526,630.2564102564103,170.0,200.0
M3,simulated,27,0.139189375631117,0.6008,0.3992,64,938.75,604.8484848484849,170.0,300.0
M3,simulated,28,0.139189375631117,0.702,0.298,61,1132.258064516129,480.64516129032256,560.0,100.0
M3,simulated,29,0.139189375631117,0.5944,0.4056,53,1100.7407407407406,751.1111111111111,460.0,140.0
M3,simulated,30,0.139189375631117,0.576,0.424,67,847.0588235294117,623.5294117647059,200.0,410.0
M3,simulated,31,0.139189375631117,0.5628,0.4372,69,804.0,624.5714285714286,260.0,200.0
M3,simulated,32,0.139189375631117,0.5132,0.4868,70,733.1428571428571,676.1111111111111,60.0,120.0
M3,simulated,33,0.139189375631117,0.5292,0.4708,71,735.0,653.8888888888889,110.0,210.0
M3,simulated,34,0.139189375631117,0.5364,0.4636,63,838.125,724.375,120.0,240.0
M3,simulated,35,0.139189375631117,0.6928,0.3072,85,805.5813953488372,357.2093023255814,240.0,120.0
M3,simulated,36,0.139189375631117,0.576,0.424,53,1066.6666666666667,785.1851851851852,160.0,180.0
M3,simulated,37,0.139189375631117,0.8124,0.1876,39,2031.0,469.0,1450.0,200.0
M3,simulated,38,0.139189375631117,0.3636,0.6364,55,649.2857142857143,1136.4285714285713,140.0,520.0
M3,simulated,39,0.139189375631117,0.4956,0.5044,67,728.8235294117648,741.7647058823529,210.0,230.0
M3,simulated,40,0.139189375631117,0.662,0.338,56,1182.142857142857,582.7586206896551,290.0,420.0
M3,simulated,41,0.139189375631117,0.756,0.244,61,1219.3548387096773,393.5483870967742,420.0,160.0
M3,simulated,42,0.139189375631117,0.4964,0.5036,72,689.4444444444445,680.5405405405405,130.0,260.0
M3,simulated,43,0.139189375631117,0.6796,0.3204,39,1699.0,801.0,1300.0,180.0
M3,simulated,44,0.139189375631117,0.58,0.42,104,557.6923076923077,396.22641509433964,110.0,160.0
M3,simulated,45,0.139189375631117,0.658,0.342,74,889.1891891891892,450.0,120.0,130.0
M3,simulated,46,0.139189375631117,0.4896,0.5104,86,569.3023255813954,580.0,180.0,210.0
M3,simulated,47,0.139189375631117,0.59,0.41,81,719.5121951219512,500.0,260.0,160.0
M3,simulated,48,0.139189375631117,0.6788,0.3212,73,917.2972972972973,434.05405405405406,300.0,160.0
