model,source,rep,event,barrier,regime,waiting_time_years
M2,simulated,3,9,0.139189375631117,lower,60.0
M2,simulated,3,10,0.139189375631117,lower,1120.0
M2,simulated,3,11,0.139189375631117,lower,260.0
M2,simulated,3,12,0.139189375631117,lower,80.0
M2,simulated,3,13,0.139189375631117,lower,1000.0
M2,simulated,3,14,0.139189375631117,lower,80.0
M2,simulated,3,15,0.139189375631117,lower,20.0
M2,simulated,3,16,0.139189375631117,lower,280.0
M2,simulated,3,17,0.139189375631117,lower,60.0
M2,simulated,3,18,0.139189375631117,lower,20.0
M2,simulated,3,19,0.139189375631117,lower,60.0
M2,simulated,3,20,0.139189375631117,lower,60.0
M2,simulated,3,21,0.139189375631117,lower,140.0
M2,simulated,3,22,0.139189375631117,lower,620.0
M2,simulated,3,23,0.139189375631117,lower,20.0
M2,simulated,3,24,0.139189375631117,lower,140.0
M2,simulated,3,25,0.139189375631117,lower,220.0
M2,simulated,3,26,0.139189375631117,lower,160.0
M2,simulated,3,27,0.139189375631117,lower,140.0
M2,simulated,3,28,0.139189375631117,lower,2340.0
M2,simulated,3,29,0.139189375631117,lower,4220.0
M2,simulated,3,30,0.139189375631117,lower,1180.0
M2,simulated,3,31,0.139189375631117,lower,40.0
M2,simulated,3,32,0.139189375631117,lower,280.0
M2,simulated,3,33,0.139189375631117,lower,40.0
M2,simulated,3,34,0.139189375631117,lower,700.0000000000001
M2,simulated,3,35,0.139189375631117,lower,2080.0
M2,simulated,3,36,0.139189375631117,lower,40.0
M2,simulated,3,37,0.139189375631117,lower,20.0
M2,simulated,3,38,0.139189375631117,lower,500.0
M2,simulated,3,39,0.139189375631117,lower,100.0
M2,simulated,3,40,0.139189375631117,lower,1640.0000000000002
M2,simulated,3,41,0.139189375631117,lower,1460.0
M2,simulated,3,42,0.139189375631117,lower,400.0
M2,simulated,3,43,0.139189375631117,lower,340.0
M2,simulated,3,44,0.139189375631117,lower,600.0
M2,simulated,3,45,0.139189375631117,lower,440.0
M2,simulated,3,46,0.139189375631117,lower,780.0
M2,simulated,3,0,0.139189375631117,upper,200.0
M2,simulated,3,1,0.139189375631117,upper,20.0
M2,simulated,3,2,0.139189375631117,upper,220.0
M2,simulated,3,3,0.139189375631117,upper,100.0
M2,simulated,3,4,0.139189375631117,upper,20.0
M2,simulated,3,5,0.139189375631117,upper,120.0
M2,simulated,3,6,0.139189375631117,upper,1340.0
M2,simulated,3,7,0.139189375631117,upper,60.0
M2,simulated,3,8,0.139189375631117,upper,20.0
M2,simulated,3,9,0.139189375631117,upper,60.0
M2,simulated,3,10,0.139189375631117,upper,40.0
M2,simulated,3,11,0.139189375631117,upper,80.0
M2,simulated,3,12,0.139189375631117,upper,440.0
M2,simulated,3,13,0.139189375631117,upper,40.0
M2,simulated,3,14,0.139189375631117,upper,1700.0
M2,simulated,3,15,0.139189375631117,upper,420.0
M2,simulated,3,16,0.139189375631117,upper,300.0
M2,simulated,3,17,0.139189375631117,upper,1780.0
M2,simulated,3,18,0.139189375631117,upper,500.0
M2,simulated,3,19,0.139189375631117,upper,100.0
M2,simulated,3,20,0.139189375631117,upper,2240.0
M2,simulated,3,21,0.139189375631117,upper,20.0
M2,simulated,3,22,0.139189375631117,upper,360.0
M2,simulated,3,23,0.139189375631117,upper,80.0
M2,simulated,3,24,0.139189375631117,upper,20.0
M2,simulated,3,25,0.139189375631117,upper,180.0
M2,simulated,3,26,0.139189375631117,upper,1660.0000000000002
M2,simulated,3,27,0.139189375631117,upper,40.0
M2,simulated,3,28,0.139189375631117,upper,20.0
M2,simulated,3,29,0.139189375631117,upper,1000.0
M2,simulated,3,30,0.139189375631117,upper,200.0
M2,simulated,3,31,0.139189375631117,upper,1780.0
M2,simulated,3,32,0.139189375631117,upper,100.0
M2,simulated,3,33,0.139189375631117,upper,140.0
M2,simulated,3,34,0.139189375631117,upper,20.0
M2,simulated,3,35,0.139189375631117,upper,140.0
M2,simulated,3,36,0.139189375631117,upper,60.0
M2,simulated,3,37,0.139189375631117,upper,240.0
M2,simulated,3,38,0.139189375631117,upper,60.0
M2,simulated,3,39,0.139189375631117,upper,2820.0
M2,simulated,3,40,0.139189375631117,upper,20.0
M2,simulated,3,41,0.139189375631117,upper,1820.0
M2,simulated,3,42,0.139189375631117,upper,20.0
M2,simulated,3,43,0.139189375631117,upper,1540.0
M2,simulated,3,44,0.139189375631117,upper,140.0
M2,simulated,3,45,0.139189375631117,upper,760.0
M2,simulated,3,46,0.139189375631117,upper,760.0
M2,simulated,4,0,0.139189375631117,lower,1920.0
M2,simulated,4,1,0.139189375631117,lower,6720.0
M2,simulated,4,2,0.139189375631117,lower,10980.0
M2,simulated,4,3,0.139189375631117,lower,400.0
M2,simulated,4,4,0.139189375631117,lower,220.0
M2,simulated,4,5,0.139189375631117,lower,280.0
M2,simulated,4,6,0.139189375631117,lower,60.0
M2,simulated,4,7,0.139189375631117,lower,1760.0
M2,simulated,4,8,0.139189375631117,lower,460.0
M2,simulated,4,9,0.139189375631117,lower,5760.0
M2,simulated,4,10,0.139189375631117,lower,1120.0
M2,simulated,4,11,0.139189375631117,lower,20.0
M2,simulated,4,12,0.139189375631117,lower,40.0
M2,simulated,4,13,0.139189375631117,lower,1760.0
M2,simulated,4,14,0.139189375631117,lower,120.0
M2,simulated,4,15,0.139189375631117,lower,300.0
M2,simulated,4,16,0.139189375631117,lower,80.0
M2,simulated,4,17,0.139189375631117,lower,140.0
M2,simulated,4,18,0.139189375631117,lower,140.0
M2,simulated,4,19,0.139189375631117,lower,1980.0
M2,simulated,4,20,0.139189375631117,lower,820.0000000000001
M2,simulated,4,21,0.139189375631117,lower,2300.0000000000005
M2,simulated,4,0,0.139189375631117,upper,2700.0
M2,simulated,4,1,0.139189375631117,upper,1000.0
M2,simulated,4,2,0.139189375631117,upper,20.0
M2,simulated,4,3,0.139189375631117,upper,360.0
M2,simulated,4,4,0.139189375631117,upper,120.0
M2,simulated,4,5,0.139189375631117,upper,420.0
M2,simulated,4,6,0.139189375631117,upper,140.0
M2,simulated,4,7,0.139189375631117,upper,140.0
M2,simulated,4,8,0.139189375631117,upper,1460.0
M2,simulated,4,9,0.139189375631117,upper,120.0
M2,simulated,4,10,0.139189375631117,upper,620.0
M2,simulated,4,11,0.139189375631117,upper,60.0
M2,simulated,4,12,0.139189375631117,upper,20.0
M2,simulated,4,13,0.139189375631117,upper,40.0
M2,simulated,4,14,0.139189375631117,upper,1660.0000000000002
M2,simulated,4,15,0.139189375631117,upper,120.0
M2,simulated,4,16,0.139189375631117,upper,1260.0
M2,simulated,4,17,0.139189375631117,upper,100.0
M2,simulated,4,18,0.139189375631117,upper,580.0
M2,simulated,4,19,0.139189375631117,upper,160.0
M2,simulated,4,20,0.139189375631117,upper,160.0
M2,simulated,4,21,0.139189375631117,upper,80.0
M2,simulated,4,22,0.139189375631117,upper,1280.0
M2,simulated,5,0,0.139189375631117,lower,3220.0
M2,simulated,5,1,0.139189375631117,lower,1680.0
M2,simulated,5,2,0.139189375631117,lower,4580.0
M2,simulated,5,3,0.139189375631117,lower,260.0
M2,simulated,5,4,0.139189375631117,lower,20.0
M2,simulated,5,5,0.139189375631117,lower,8340.0
M2,simulated,5,6,0.139189375631117,lower,200.0
M2,simulated,5,7,0.139189375631117,lower,240.0
M2,simulated,5,8,0.139189375631117,lower,440.0
M2,simulated,5,9,0.139189375631117,lower,260.0
M2,simulated,5,10,0.139189375631117,lower,60.0
M2,simulated,5,11,0.139189375631117,lower,20.0
M2,simulated,5,12,0.139189375631117,lower,240.0
M2,simulated,5,13,0.139189375631117,lower,2560.0
M2,simulated,5,14,0.139189375631117,lower,240.0
M2,simulated,5,15,0.139189375631117,lower,160.0
M2,simulated,5,16,0.139189375631117,lower,60.0
M2,simulated,5,17,0.139189375631117,lower,540.0
M2,simulated,5,18,0.139189375631117,lower,1360.0
M2,simulated,5,19,0.139189375631117,lower,20.0
M2,simulated,5,20,0.139189375631117,lower,160.0
M2,simulated,5,21,0.139189375631117,lower,1760.0
M2,simulated,5,22,0.139189375631117,lower,20.0
M2,simulated,5,23,0.139189375631117,lower,20.0
M2,simulated,5,24,0.139189375631117,lower,220.0
M2,simulated,5,25,0.139189375631117,lower,80.0
M2,simulated,5,26,0.139189375631117,lower,1880.0000000000002
M2,simulated,5,27,0.139189375631117,lower,40.0
M2,simulated,5,28,0.139189375631117,lower,20.0
M2,simulated,5,29,0.139189375631117,lower,20.0
M2,simulated,5,30,0.139189375631117,lower,2060.0
M2,simulated,5,31,0.139189375631117,lower,120.0
M2,simulated,5,32,0.139189375631117,lower,1300.0
M2,simulated,5,0,0.139189375631117,upper,1240.0
M2,simulated,5,1,0.139189375631117,upper,1360.0
M2,simulated,5,2,0.139189375631117,upper,140.0
M2,simulated,5,3,0.139189375631117,upper,140.0
M2,simulated,5,4,0.139189375631117,upper,320.0
M2,simulated,5,5,0.139189375631117,upper,400.0
M2,simulated,5,6,0.139189375631117,upper,60.0
M2,simulated,5,7,0.139189375631117,upper,80.0
M2,simulated,5,8,0.139189375631117,upper,340.0
M2,simulated,5,9,0.139189375631117,upper,40.0
M2,simulated,5,10,0.139189375631117,upper,280.0
M2,simulated,5,11,0.139189375631117,upper,20.0
M2,simulated,5,12,0.139189375631117,upper,300.0
M2,simulated,5,13,0.139189375631117,upper,440.0
M2,simulated,5,14,0.139189375631117,upper,80.0
M2,simulated,5,15,0.139189375631117,upper,20.0
M2,simulated,5,16,0.139189375631117,upper,860.0
M2,simulated,5,17,0.139189375631117,upper,80.0
M2,simulated,5,18,0.139189375631117,upper,1060.0
M2,simulated,5,19,0.139189375631117,upper,120.0
M2,simulated,5,20,0.139189375631117,upper,100.0
M2,simulated,5,21,0.139189375631117,upper,60.0
M2,simulated,5,22,0.139189375631117,upper,900.0
M2,simulated,5,23,0.139189375631117,upper,180.0
M2,simulated,5,24,0.139189375631117,upper,80.0
M2,simulated,5,25,0.139189375631117,upper,960.0
M2,simulated,5,26,0.139189375631117,upper,480.0
M2,simulated,5,27,0.139189375631117,upper,3500.0
M2,simulated,5,28,0.139189375631117,upper,3020.0
M2,simulated,5,29,0.139189375631117,upper,80.0
M2,simulated,5,30,0.139189375631117,upper,20.0
M2,simulated,5,31,0.139189375631117,upper,280.0
M2,simulated,5,32,0.139189375631117,upper,420.0
M2,simulated,5,33,0.139189375631117,upper,340.0
M2,simulated,6,0,0.139189375631117,lower,660.0
M2,simulated,6,1,0.139189375631117,lower,1320.0
M2,simulated,6,2,0.139189375631117,lower,60.0
M2,simulated,6,3,0.139189375631117,lower,140.0
M2,simulated,6,4,0.139189375631117,lower,100.0
M2,simulated,6,5,0.139189375631117,lower,60.0
M2,simulated,6,6,0.139189375631117,lower,40.0
M2,simulated,6,7,0.139189375631117,lower,820.0000000000001
M2,simulated,6,8,0.139189375631117,lower,320.0
M2,simulated,6,9,0.139189375631117,lower,200.0
M2,simulated,6,10,0.139189375631117,lower,680.0
M2,simulated,6,11,0.139189375631117,lower,40.0
M2,simulated,6,12,0.139189375631117,lower,100.0
M2,simulated,6,13,0.139189375631117,lower,860.0
M2,simulated,6,14,0.139189375631117,lower,200.0
M2,simulated,6,15,0.139189375631117,lower,60.0
M2,simulated,6,16,0.139189375631117,lower,500.0
M2,simulated,6,17,0.139189375631117,lower,260.0
M2,simulated,6,18,0.139189375631117,lower,20.0
M2,simulated,6,19,0.139189375631117,lower,240.0
M2,simulated,6,20,0.139189375631117,lower,60.0
M2,simulated,6,21,0.139189375631117,lower,120.0
M2,simulated,6,22,0.139189375631117,lower,220.0
M2,simulated,6,23,0.139189375631117,lower,320.0
M2,simulated,6,24,0.139189375631117,lower,1520.0
M2,simulated,6,25,0.139189375631117,lower,1080.0
M2,simulated,6,26,0.139189375631117,lower,40.0
M2,simulated,6,27,0.139189375631117,lower,100.0
M2,simulated,6,28,0.139189375631117,lower,20.0
M2,simulated,6,29,0.139189375631117,lower,60.0
M2,simulated,6,30,0.139189375631117,lower,20.0
M2,simulated,6,31,0.139189375631117,lower,20.0
M2,simulated,6,32,0.139189375631117,lower,120.0
M2,simulated,6,33,0.139189375631117,lower,20.0
M2,simulated,6,34,0.139189375631117,lower,140.0
M2,simulated,6,35,0.139189375631117,lower,7800.0
M2,simulated,6,36,0.139189375631117,lower,840.0
M2,simulated,6,37,0.139189375631117,lower,3280.0000000000005
M2,simulated,6,38,0.139189375631117,lower,1180.0
M2,simulated,6,39,0.139189375631117,lower,200.0
M2,simulated,6,40,0.139189375631117,lower,20.0
M2,simulated,6,41,0.139189375631117,lower,1040.0
M2,simulated,6,42,0.139189375631117,lower,20.0
M2,simulated,6,43,0.139189375631117,lower,20.0
M2,simulated,6,44,0.139189375631117,lower,2240.0
M2,simulated,6,45,0.139189375631117,lower,100.0
M2,simulated,6,46,0.139189375631117,lower,120.0
M2,simulated,6,47,0.139189375631117,lower,20.0
M2,simulated,6,48,0.139189375631117,lower,140.0
M2,simulated,6,49,0.139189375631117,lower,640.0
M2,simulated,6,0,0.139189375631117,upper,2880.0
M2,simulated,6,1,0.139189375631117,upper,200.0
M2,simulated,6,2,0.139189375631117,upper,980.0
M2,simulated,6,3,0.139189375631117,upper,60.0
M2,simulated,6,4,0.139189375631117,upper,20.0
M2,simulated,6,5,0.139189375631117,upper,40.0
