traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
20,20260641,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,35.18135784140022,-123.5096882694245,46.0349166042673,144.7850503029372,-20.23576244603454,18.49891995355012,-10.731349347160172,1374.0629152885042,13.928870013314624,-30.958835013592537,78.41491024728357,6904.318331242534,231.645519197746,0.1207332932326238,1257.124373750159,4228.525609124999
21,20260642,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,28.61819184296344,-93.32017067261687,34.91381656069202,99.46392937711188,-15.691460550157535,24.07590579471021,28.139019350596463,1252.4558172609306,6.463550344911927,-24.94921475345196,-14.579855119798244,-3871.3098236683063,1171.6563248770667,0.5646428897045932,1244.2339644134559,4.224074
21,20260642,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,39.81911931877921,-126.36962057761761,47.65615841707229,141.3878562482186,-26.29247821755735,28.671227377690347,22.677813574960588,1411.8067961311992,54.909615239229566,-76.79613803264176,-170.3797117444175,7047.009088758839,2408.7187506750147,1.160806191192182,1178.6442776753113,50.256030375
22,20260643,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,31.579699228910062,-69.80439380890293,3.0118577519667493,79.49409458723073,3.0736015393821297,18.244255182043272,24.094572302992738,1309.9099475469286,29.704388011698715,-2.6630758215687558,-9.821051691628126,-4343.7861877077685,202.12546236003203,0.11068139641186499,1301.7008851330875,9.305157375000007
22,20260643,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,40.39336833246654,-131.14957868294405,46.18502175575303,153.934011892349,-35.844262060715785,15.138525777010567,7.993170340687636,1421.1760996735159,166.247239562894,-28.39183505115208,9.540232203298274,6762.331108634078,393.0869510475237,0.21524953929715995,1419.6758771136103,17.95347737499999
23,20260644,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,28.663273715061937,-77.48186359848034,13.440700695907008,94.83975214687203,6.00527782859674,22.1992628077478,-20.380625653105923,1203.1996284997165,0.5097775825930173,6.09618903109464,18.048705944660306,-4214.887898818499,191.53823154190408,0.10015770226220684,1166.1102814947753,12.865344500000006
23,20260644,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,36.365490965961136,-131.46175315310202,39.15209946167619,161.05881461435968,-10.304288488110178,21.0295127439718,-18.029349928790655,1400.699936987191,1.5201128281760903,11.307914412906406,-4.847338794702848,6947.996884029582,184.66548886688315,0.09656386040082936,1396.836352323534,14.488255792000004
24,20260645,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,27.404382188813848,-75.6841080108245,9.98400227472935,93.06283115609311,8.960896753237247,18.084008552074643,-9.026846507142716,1341.1991730225927,0.411130594974977,-5.341437336263383,0.8541975522255092,-3997.7268798212012,216.27347257356595,0.10999410679568289,1339.286670905738,3.827076292000001
24,20260645,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,38.36635214999706,-141.22171215509206,35.76591407493897,176.77798749849967,-4.913286041821413,18.410864712938157,-18.959945526577567,1642.420922324965,0.29893599933287895,4.691980495076511,-2.4159564470619093,7020.542577458829,353.9408724467711,0.18001010322717548,1637.5398202805347,22.972543665999993
25,20260646,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,29.312060512448756,-67.78790904666904,-1.742258264873648,74.91120127421742,8.566757001201829,17.609842015537286,-47.32318806529553,1313.8246291121686,36.62340819458137,-50.79103985456929,68.24575509959135,-4324.614530352284,306.5712624641822,0.1637093070395308,1282.0315943466494,2.734038790999989
