transition,age_ka,x,vhat,nll_m3,nll_m4,gain_m4_over_m3,cumulative_gain,q_m3,q_m4,log10_q_ratio
2093,38.14,1.3274221730141869,0.01719986257071593,3.079690124372825,3.029165416670142,0.05052470770268336,23.259739006799904,4373.89585046492,3926.028804008714,-0.04691495601624346
2094,38.12,1.3277661702656012,2.9860940646505574,4.069387591980827,4.325585037649369,-0.2561974456685423,23.003541561131364,5626.264383640917,4188.48771483772,-0.12816289026862873
2095,38.1,1.3874880515586123,-9.228563826398517,2.900290539937862,2.920526156368645,-0.020235616430782866,22.983305944700582,7753.855989411466,10422.185343478974,0.1284410615037736
2096,38.08,1.202916775030642,-0.24990585913065022,5.170170438570935,5.240336341351302,-0.07016590278036716,22.913140041920215,4316.941864814343,3934.857851388775,-0.04024715227578467
2097,38.06,1.197918657848029,9.569860681545483,2.774959386508943,2.6250886118537484,0.1498707746551946,23.06301081657541,12457.758658533556,9047.449793876849,-0.13891373132719165
2098,38.04,1.3893158714789386,0.09155834823575404,2.611639528042086,2.5947420520571334,0.016897475984952504,23.07990829256036,4391.387816080994,3927.634155658129,-0.04847076449004395
2099,38.02,1.3911470384436537,-2.257638953671459,2.9639892765658944,2.9236319933920227,0.04035728317387166,23.120265575734233,4183.261947667165,4527.211150897469,0.034315690530330706
2100,38.0,1.3459942593702245,1.6202236556682736,2.6203634269840155,2.571638084863697,0.04872534212031843,23.16899091785455,4908.9552181667805,3924.411906400866,-0.09721448561312958
2101,37.98,1.37839873248359,-1.55886857741101,2.6073784909029905,2.6026706223307587,0.00470786857223171,23.173698786426783,4170.825453026483,4268.7148383480235,0.010075128513698007
2102,37.96,1.3472213609353698,-1.8593982822556088,3.546239783113986,3.4726260262930877,0.07361375682089832,23.24731254324768,4168.459001978639,4349.278110136724,0.018441644629358364
2103,37.94,1.3100333952902576,4.368240630904174,2.6991123110457296,2.598368457869269,0.10074385317646062,23.34805639642414,6596.963722627316,4708.584963561132,-0.14645368445054333
2104,37.92,1.3973982079083411,0.893213184236652,4.021317845559947,4.174824059203677,-0.15350621364372952,23.19455018278041,4625.237850595383,3883.5741479975068,-0.07590246959767066
2105,37.9,1.4152624715930742,-9.682391691352676,2.9325408992716766,2.954293501904003,-0.02175260263232648,23.172797580148085,8203.525544305237,11089.856319435918,0.13092538470375614
2106,37.88,1.2216146377660206,-0.2546105339799931,4.1179115200830605,4.117682035791245,0.00022948429181557373,23.1730270644399,4316.021138523107,3938.28628417764,-0.03977628012024251
2107,37.86,1.2165224270864208,7.010805060384717,2.872754515394053,2.8161465364475897,0.05660797894646308,23.229635043386363,9138.475092892413,6505.440069529724,-0.147597052151219
2108,37.84,1.3567385282941151,-2.722463972513456,2.793399808481337,2.8154976635402806,-0.022097855058943683,23.207537188327418,4226.400967759583,4700.473175118323,0.046170881450392214
2109,37.82,1.302289248843846,-5.105090795845646,2.7825252186933502,2.773752075184457,0.008773143508893355,23.21631033183631,4884.87196391831,6070.0883222104585,0.09434182525282236
2110,37.8,1.200187432926933,0.22765254079268882,3.1456256890291865,3.1003998701749427,0.045225818854243816,23.261536150690556,4425.248707431385,3899.567928538778,-0.05492119396169777
2111,37.78,1.2047404837427869,3.889444299342748,2.965892073335025,2.8952348417522886,0.07065723158273629,23.332193382273292,6232.817127202855,4590.750743356264,-0.13280067152954
2112,37.76,1.2825293697296418,3.710457928223665,3.3504853289740577,3.3411374969071805,0.00934783206687717,23.341541214340168,6104.279317212398,4456.5159420496875,-0.1366389332376832
2113,37.74,1.3567385282941151,5.251303868174584,3.5410479185014276,3.7418020713616342,-0.2007541528602066,23.140787061479962,7346.098081492246,5109.4382780251835,-0.15768356528893038
2114,37.72,1.4617646056576068,-7.4681171465672325,2.6823259544011875,2.749604445474349,-0.06727849107316164,23.0735085704068,6260.825441795736,8498.123831921366,0.13269145981837546
2115,37.7,1.3124022627262621,-2.5189043311182546,5.046118666781252,4.903583002692537,0.1425356640887152,23.216044234495516,4204.080843081167,4576.886593774644,0.036899092824227826
2116,37.68,1.262024176103897,8.313913052180322,3.051773560065977,3.062560433967802,-0.01078687390182509,23.20525736059369,10723.199010889743,7588.923392494567,-0.15014419729684086
2117,37.66,1.4283024371475035,-4.097886547699847,2.6303126598374567,2.661921007147064,-0.031608347309607154,23.173649013284084,4517.2143235409185,5529.75076815535,0.08783486105799275
2118,37.64,1.3463447061935065,-2.060023589229898,3.1208621518100585,3.067429717147389,0.05343243466266934,23.227081447946752,4173.360658132018,4420.102267930406,0.024946400061129446
2119,37.62,1.3051442344089086,2.6683357738233937,2.806159008993948,2.731214505017552,0.07494450397639607,23.30202595192315,5437.919123901215,4118.190597765251,-0.12072630147382936
2120,37.6,1.3585109498853765,1.9259229230671915,2.840854047393819,2.7788307130105685,0.06202333438325036,23.3640492863064,5048.606009607663,3956.8271773990054,-0.1058243979475491
2121,37.58,1.3970294083467203,1.8115543124810118,2.651128586992736,2.62670621106343,0.024422375929306295,23.388471662235705,4994.949069901345,3932.0439464683377,-0.10391270130190439
2122,37.56,1.4332604945963405,-2.8425186726178,2.724266965803328,2.763390465304931,-0.039123499501602765,23.349348162734103,4242.0693487057415,4822.062975053693,0.055655113847508264
2123,37.54,1.3764101211439845,-4.9236967671336895,2.6195814798290176,2.654367860689491,-0.034786380860473365,23.31456178187363,4809.0016565925425,6036.336171850338,0.09871849155464292
