k,age_ka,X_old,X_new,Vhat_old,Vhat_new,regime_switch,m2_ios_contribution,m2_loo_valid,m2_nit,m2_seconds,m2_parameter_shift_relative,m2_start_kind,m2_warm_start_excess_nll,m3_ios_contribution,m3_loo_valid,m3_nit,m3_seconds,m3_parameter_shift_relative,m3_start_kind,m3_warm_start_excess_nll,m4_ios_contribution,m4_loo_valid,m4_nit,m4_seconds,m4_parameter_shift_relative,m4_start_kind,m4_warm_start_excess_nll
1506,49.88,0.9107277167081849,0.9558289671858082,2.2550625238811683,-2.841116793334808,False,0.0001670637556374,True,1,0.0337472089999977,0.0001915701781595,full fit warm start,0.0,0.0001893405797424,True,1,0.0414731669999923,0.0003738478005334,full fit warm start,0.0,0.0010378821385796,True,36,1.297053458999926,0.011072704979128,full fit warm start,0.0
1507,49.86,0.9558289671858082,0.8990066313191121,-2.841116793334808,-12.97363896905248,False,0.0018301904259683,True,3,0.0617165409999955,0.0005797632269662,full fit warm start,0.0,0.0104498991739756,True,14,0.2846882919999984,0.0948110894693583,full fit warm start,0.0,0.0236557748338821,True,47,1.617773791000218,0.0536646702809866,full fit warm start,0.0
1508,49.84,0.8990066313191121,0.6395338519380624,-12.97363896905248,-13.589070427391192,False,0.0031997815224995,True,7,0.1321469580000069,0.0033494676405791,full fit warm start,0.0,0.001651399739921,True,3,0.0871410830000058,0.0017633040402043,full fit warm start,0.0,0.0075282616858336,True,70,2.263033415999871,0.0524996614537482,full fit warm start,0.0
1509,49.82,0.6395338519380624,0.3677524433902386,-13.589070427391192,-5.360155316722581,False,0.0001921894729441,True,2,0.048032667000001,0.0001966661884266,full fit warm start,0.0,0.0002173617809479,True,2,0.0612209589999963,0.0002290562959392,full fit warm start,0.0,0.0007004008719495,True,21,0.9631572499997674,0.0037851685452656,full fit warm start,0.0
1510,49.8,0.3677524433902386,0.260549337055787,-5.360155316722581,2.2851608859394634,False,0.0002054467098839,True,1,0.0336296250000032,0.0001823447340949,full fit warm start,0.0,0.0002205037048592,True,1,0.041787959000004,0.000292789914246,full fit warm start,0.0,0.0013897191350085,True,50,1.418756124999618,0.0421708117651521,full fit warm start,0.0
1511,49.78,0.260549337055787,0.30625255477457625,2.2851608859394634,3.9118896329569885,False,0.0001454421563589,True,1,0.0335425420000063,0.000146012645343,full fit warm start,0.0,0.0001534196821375,True,1,0.0430178750000038,0.0002231228295624,full fit warm start,0.0,0.001009331636173,True,53,1.4464905410000028,0.0325683722856103,full fit warm start,0.0
1512,49.76,0.30625255477457625,0.384490347433716,3.9118896329569885,3.682218861217912,False,0.0001844514834732,True,1,0.0335084999999963,0.0001825011235639,full fit warm start,0.0,0.0001875682276679,True,1,0.0410718329999895,0.000206954276567,full fit warm start,0.0,0.0008144337836148,True,59,2.1124910840003395,0.0217097415403408,full fit warm start,0.0
1513,49.74,0.384490347433716,0.45813472465807425,3.682218861217912,1.74233656650844,False,0.0002705107373071,True,1,0.0333934579999919,0.0002352176810682,full fit warm start,0.0,0.0002154328977925,True,2,0.0600217500000042,0.0001833314176851,full fit warm start,0.0,0.0007301487077908,True,25,0.8683635829997911,0.0053006519340353,full fit warm start,0.0
1514,49.72,0.45813472465807425,0.49298145598824306,1.74233656650844,-1.289680931031878,False,0.0002343140463949,True,1,0.033361499999998,0.0002241499494319,full fit warm start,0.0,0.0001945128632838,True,2,0.0599655839999968,0.0002572471763443,full fit warm start,0.0,0.0008151592865979,True,41,1.196011833999819,0.0092109714942859,full fit warm start,0.0
1515,49.7,0.49298145598824306,0.4671878373676055,-1.289680931031878,-5.963063417366143,False,-1.5383100850918652e-05,True,1,0.0334745419999933,4.908293302974234e-05,full fit warm start,0.0,-1.9401515540806713e-06,True,1,0.0415262500000039,0.0003670283495395,full fit warm start,0.0,0.0022874990089643,True,74,2.228304583999943,0.0491835845432847,full fit warm start,0.0
